cat,group_label,coef
customer_C1209838312,1,8.89E-05
customer_C1210957250,1,0.000788083
customer_C1211514218,1,-0.008332554
customer_C1212956427,1,0.000317578
customer_C1213002113,1,0.000314689
customer_C1213984358,1,-0.00091949
customer_C1214229415,1,0.000266483
customer_C1214279601,1,-0.000219646
customer_C1214582637,1,1.03E-05
customer_C1214587699,1,0.00022218
customer_C1214628974,1,0.000388508
customer_C1214780453,1,0.000269986
customer_C1214826221,1,0.000136593
customer_C1214828746,1,0.000478731
customer_C1214929092,1,-0.001881686
customer_C1214964999,1,0.0002754
customer_C1215440829,1,-0.000681106
customer_C1215446912,1,0.000338613
customer_C1215468370,1,8.95E-05
customer_C1216409727,1,0.000557496
customer_C1216867117,1,0.000272993
customer_C1216919532,1,0.000972097
customer_C121713128,1,-0.000664054
customer_C121798652,1,0.000246488
customer_C1221114448,1,0.000280329
customer_C1222389110,1,0.000203274
customer_C122290547,1,-0.000334386
customer_C1223439629,1,-0.003834222
customer_C1224153830,1,0.00035366
customer_C1224222502,1,0.000218361
customer_C1225533078,1,-0.003440666
customer_C1225568299,1,-0.000572365
customer_C1225704566,1,0.000348605
customer_C1225717157,1,0.000492032
customer_C1226558289,1,0.000230003
customer_C1226947303,1,0.00034044
customer_C1227773968,1,0.000215809
customer_C1228110352,1,0.000785494
customer_C1228152586,1,-0.000104229
customer_C1228157206,1,0.000265662
customer_C12284077,1,0.000374758
customer_C1229072215,1,0.000288648
customer_C1229114783,1,-0.000571839
customer_C1229674572,1,0.00024755
customer_C1230747575,1,0.000207077
customer_C1231572628,1,0.000207328
customer_C1232356156,1,0.000347783
customer_C1232523772,1,9.17E-05
customer_C1232725180,1,0.001318146
customer_C1233238493,1,0.00033783
customer_C1233360048,1,0.001499337
customer_C1233405214,1,0.00113611
customer_C123366357,1,0.000324261
customer_C1233802034,1,0.000755029
customer_C1233811793,1,-0.000576571
customer_C1234264195,1,0.00047865
customer_C1234470601,1,-8.10E-05
customer_C1235359960,1,0.001097358
customer_C123623130,1,-0.000175824
customer_C1236489588,1,0.000425225
customer_C1236503001,1,0.000272458
customer_C1236509536,1,0.00029936
customer_C1236533874,1,-0.000587552
customer_C1237248073,1,-0.00568565
customer_C1237272991,1,0.00075962
customer_C1237476993,1,-0.002844148
customer_C1237709469,1,0.000832379
customer_C1238185596,1,0.00014774
customer_C1238755034,1,0.002578109
customer_C1238891395,1,0.000121888
customer_C1239061472,1,0.000222473
customer_C1239127666,1,0.000522551
customer_C1239154010,1,0.000625036
customer_C1239184141,1,0.000929293
customer_C1240209240,1,0.000260366
customer_C1240560903,1,-0.000719232
customer_C1240746302,1,0.000133852
customer_C1242334684,1,-0.00129865
customer_C1242643189,1,0.000256996
customer_C1242686524,1,0.001222063
customer_C1242770016,1,-1.55E-05
customer_C1245363669,1,-0.000418608
customer_C124539163,1,0.001182467
